alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 111
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_ActorCriticPendulum-PuddlWorld/run_351998610794536
Random seed:          111
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	353839755053545	997	1	(471:499[0.15],)	499	1807.8557015031581	-2655.3359228541117	-4693.151891666565	11	9.214	13	8	(0.05505276732052926,)
1	354865191043121	1497	1	(471:501[0.16],)	501	2171.155129695774	-2290.2766471992877	-4782.44435573926	12	9.624	13	8	(0.07485062825773245,)
2	355931429661888	1997	2	(471:407[0.15],472:94[0.15],)	501	2201.771380648989	-1646.5694658598188	-4694.4598954571675	11	9.762	14	8	(0.05255783167820419,0.07189754231978664,)
3	357124911505920	2497	3	(471:376[0.13999999999999999],472:87[0.16],473:39[0.15],)	502	2356.274281420016	-709.4982348601493	-4697.400975953825	12	10.46	15	8	(0.072710319623658,0.09699144131424635,0.09371346854038837,)
4	358806811857042	3127	4	(471:258[0.12999999999999998],472:76[0.17],473:227[0.16],474:71[0.15],)	632	2267.3166320465784	-220.90779073352937	-4694.757631441739	12	13.41	14	8	(0.07544468561910787,0.054760454024347885,0.0379242935439083,0.06792132409004921,)
5	360203984652465	3632	5	(471:101[0.11999999999999998],472:89[0.18000000000000002],473:238[0.15],474:53[0.16],475:23[0.15],)	504	2515.0525849666014	75.08796587130507	-4751.452022003937	9	10.844	14	8	(0.0807045692788233,0.03786021719262535,0.05009901989859374,0.08424859541354188,0.07797202455791048,)
6	362343536747152	4376	5	(471:279[0.10999999999999999],472:208[0.19000000000000003],473:32[0.13999999999999999],474:151[0.17],475:77[0.16],)	747	2379.963195165073	595.8423640742612	-4903.033128138936	12	16.146	15	8	(0.06631534925633387,0.03411765471480901,0.03320508918937483,0.06758729041274333,0.07227495573227835,)
7	363947407253361	4895	4	(471:94[0.09999999999999999],472:139[0.18000000000000002],473:91[0.15],475:187[0.17],)	511	2379.963195165073	576.2463722058613	-4767.424466792474	12	11.772	15	8	(0.06663368735000835,0.05956193566184287,0.045490825421863244,0.056964100030025465,)
8	365486612549037	5395	4	(471:81[0.10999999999999999],472:157[0.17],473:104[0.16],475:162[0.16],)	504	2379.963195165073	487.5758549991577	-4797.597813019571	12	11.644	15	8	(0.06953774594550878,0.0617983377008665,0.06572144609100762,0.07117450985985749,)
9	366927756869853	5895	4	(471:209[0.11999999999999998],472:40[0.16],473:159[0.17],475:96[0.15],)	504	2379.963195165073	698.8077084474542	-4697.361954054244	12	11.576	15	8	(0.06776999993489417,0.048233579170832194,0.05918964549297094,0.06279492487249795,)
10	368508032633098	6430	3	(471:300[0.10999999999999999],473:91[0.16],475:121[0.16],)	512	2632.3843667771794	1262.9901264500631	-4775.9713513182405	13	12.098	16	8	(0.08412316806236955,0.06534348773984491,0.07557108992804569,)
11	370000355311950	6930	4	(471:268[0.09999999999999999],473:91[0.17],475:109[0.17],480:35[0.15],)	503	2632.3843667771794	1253.7503429108872	-4693.701423187345	13	11.98	17	8	(0.06458922154777756,0.06586525879478192,0.0645023445965295,0.05788468224084129,)
12	371519170657122	7430	4	(471:260[0.09],473:92[0.18000000000000002],475:97[0.18000000000000002],480:55[0.16],)	504	2687.11725537796	1488.836708152567	-4696.284715639251	13	11.98	18	8	(0.0369974106544524,0.07905470146681956,0.09214374348491654,0.06822221983894944,)
13	373113790019106	7930	4	(471:132[0.08],473:125[0.19000000000000003],475:111[0.19000000000000003],480:136[0.17],)	504	2925.0883236886716	1241.9659295756146	-4698.458719029441	14	12.214	18	8	(0.031723364669340816,0.08411510267706637,0.09867080198623629,0.05357875278533235,)
14	374801909327823	8430	4	(471:225[0.07],473:57[0.18000000000000002],475:133[0.20000000000000004],480:89[0.16],)	504	2925.0883236886716	1769.8605430844486	-4698.9523981010525	14	12.544	19	8	(0.037823524811933754,0.07114888198324872,0.05152855086922423,0.0803397119979711,)
15	376550137126640	8930	4	(471:192[0.060000000000000005],473:84[0.19000000000000003],475:132[0.19000000000000003],480:96[0.17],)	504	2925.0883236886716	1736.1928897014768	-4697.967928486489	14	12.52	18	8	(0.0383309579382741,0.08974662042692139,0.04158704596883094,0.06727611792818729,)
16	378372211601173	9430	4	(471:212[0.05],473:25[0.20000000000000004],475:170[0.18000000000000002],480:97[0.18000000000000002],)	504	2925.0883236886716	1692.1807445236948	-4696.927050367996	14	12.69	19	8	(0.030814065059193534,0.09537966177946279,0.07453831620920912,0.08580411990651438,)
17	380238978869723	9930	4	(471:138[0.04],473:163[0.21000000000000005],475:138[0.17],480:65[0.19000000000000003],)	504	2925.0883236886716	1820.0955362546601	-4695.001517140862	14	12.722	19	8	(0.023004730404068214,0.09718208249988197,0.09037943366202432,0.07351078657253426,)
18	382126077092848	10430	4	(471:103[0.03],473:229[0.20000000000000004],475:94[0.16],480:78[0.20000000000000004],)	504	2944.6800559004982	1864.2507290888202	-4771.218346169261	15	12.726	19	8	(0.021549616644746687,0.08177370071583163,0.0757820538588739,0.09569308537246685,)
19	384108174546088	10930	4	(471:215[0.04],473:103[0.19000000000000003],475:113[0.17],480:73[0.21000000000000005],)	504	2944.6800559004982	1995.0775148837583	-4694.495793830506	15	13.042	18	8	(0.025366122106997343,0.09693046078615908,0.0910819920402969,0.07502830479654546,)
20	386073193788165	11430	4	(471:70[0.03],473:185[0.20000000000000004],475:172[0.18000000000000002],480:77[0.22000000000000006],)	504	2944.6800559004982	1990.620363172133	-4853.896534762784	15	12.774	18	8	(0.0190821280478995,0.1007644377816363,0.0823292658734588,0.07976712710660447,)
21	388062342184139	11942	3	(471:166[0.04],473:147[0.19000000000000003],475:191[0.17],)	504	2944.6800559004982	2164.29682420822	-4695.5076904727575	15	12.602	19	8	(0.023656350700301185,0.07908079467034757,0.05863518025532178,)
22	389991813161409	12442	4	(471:133[0.03],473:109[0.20000000000000004],475:231[0.16],481:30[0.15],)	503	2944.6800559004982	2103.2116521364396	-4692.043540732757	15	12.638	19	8	(0.01773201581783132,0.1041030139065849,0.09216341077917109,0.1045504061057808,)
23	391900888460243	12948	5	(471:107[0.03],473:57[0.21000000000000005],475:196[0.15],481:86[0.16],482:58[0.15],)	504	2944.6800559004982	2031.963647086045	-4688.514649461187	15	12.446	19	8	(0.020996712065915583,0.11200872940108617,0.09045091318895682,0.10013381015290888,0.09402810544276408,)
24	393844421498853	13448	5	(471:130[0.03],473:94[0.22000000000000006],475:97[0.13999999999999999],481:95[0.17],482:89[0.16],)	505	2944.6800559004982	2178.701037622499	-4695.432272275576	15	12.726	19	8	(0.020007438199023186,0.09552525136450028,0.09895939577475815,0.05321813893599671,0.09735266290593357,)
25	395831477022666	13948	5	(471:58[0.03],473:255[0.23000000000000007],475:30[0.15],481:97[0.18000000000000002],482:65[0.17],)	505	2944.6800559004982	2161.685422149004	-4911.121800322431	15	13.104	20	8	(0.022586156688621985,0.07049137301321536,0.07473383324995395,0.06995958630454982,0.08314269471705717,)
26	397964152443430	14448	5	(471:130[0.04],473:141[0.22000000000000006],475:75[0.16],481:30[0.19000000000000003],482:129[0.18000000000000002],)	505	2944.6800559004982	2250.234937678227	-4685.780506345507	15	13.922	20	8	(0.031004152676180022,0.09386022706787944,0.04626357817163284,0.10276170177319707,0.08141872498780563,)
27	400075447807489	14957	4	(471:95[0.03],473:115[0.21000000000000005],475:164[0.17],482:131[0.17],)	505	2944.6800559004982	2172.8876134778106	-4687.482416142985	15	13.542	20	8	(0.020088729081255464,0.08390033344650243,0.06747586288840259,0.09096877627245004,)
