alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 222
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_ActorCriticPendulum/run_682678625846967
Random seed:          222
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	684769362707435	997	1	(470:499[0.15],)	499	2549.392979002402	-567.237134747555	-4837.184353412535	8	9.448	14	8	(0.06537856669210404,)
1	686107589208598	1497	4	(470:327[0.16],471:133[0.15],472:15[0.15],473:26[0.15],)	501	2554.376470680737	79.56453315569601	-4835.2700086635805	9	9.674	15	8	(0.07577654806726507,0.09060254370702045,0.0709063289141414,0.08650009913721014,)
2	688298438246727	2324	5	(470:162[0.15],471:27[0.13999999999999999],472:167[0.16],473:406[0.16],474:60[0.15],)	822	2562.7136894888113	-236.37335278758488	-4768.746560437124	11	15.64	15	8	(0.048175239511108345,0.06920676256613756,0.03822629221184724,0.05462395133982877,0.05937382643862768,)
3	689665097572527	2916	5	(470:27[0.13999999999999999],471:48[0.15],472:63[0.15],473:26[0.15],474:431[0.16],)	595	2567.5761395796635	-2737.9342881845205	-4702.813323357738	8	10.51	11	8	(0.07181778633532386,0.0514186377602854,0.08600040053968026,0.06917939048311914,0.035062315065276864,)
4	691153584039768	3553	4	(470:229[0.15],471:103[0.16],473:272[0.16],474:22[0.15],)	626	2539.094689492303	-1882.2602450484258	-4767.002651890106	12	11.624	12	8	(0.05553732393498325,0.06911496945110915,0.04792571909335933,0.05113351177834922,)
5	692253616221635	4053	4	(470:139[0.13999999999999999],471:114[0.17],473:86[0.15],474:165[0.16],)	504	2539.094689492303	-1360.7302003679279	-4788.256492260788	12	9.09	13	8	(0.06635878213821647,0.05746945254992518,0.05387349134446254,0.06081906709691619,)
6	693336759227924	4555	4	(470:82[0.12999999999999998],471:108[0.18000000000000002],473:17[0.16],474:297[0.15],)	504	2539.094689492303	-1012.1773198419446	-4739.426111896755	12	8.936	14	8	(0.06155301517609909,0.06551996020491495,0.09886825073058955,0.04411559700218786,)
7	695250602463816	5414	4	(470:470[0.13999999999999999],471:52[0.19000000000000003],474:296[0.13999999999999999],478:28[0.15],)	846	2553.5990718982166	-582.500507116504	-4698.569218869647	11	15.378	13	8	(0.06058311047522653,0.05397550108302952,0.06486511835109601,0.06069490751577673,)
8	699411452034238	6947	4	(470:77[0.12999999999999998],471:315[0.20000000000000004],478:1004[0.16],479:135[0.15],)	1531	2626.3031593306964	1734.409987622881	-4697.380944894196	10	28.318	12	8	(0.08112934787126275,0.06646821864388108,0.06362666068411654,0.07908740140243813,)
9	700775514840065	7448	4	(470:130[0.13999999999999999],471:176[0.19000000000000003],478:21[0.15],479:177[0.13999999999999999],)	504	2626.3031593306964	1330.8766588309616	-4697.78215777417	10	9.322	12	8	(0.04887243431807869,0.0485696607349196,0.06040265703269912,0.03876873768326415,)
