alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 222
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze-ActorCriticPendulum/run_769851943476400
Random seed:          222
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	773546528303486	997	1	(470:499[0.15],)	499	2339.561732789495	-4434.190889721806	-14692.165639958906	8	10.096	15	8	(0.10197420911740275,)
1	775552954440564	1497	4	(470:358[0.16],471:60[0.15],472:18[0.15],473:65[0.15],)	501	2339.561732789495	-1439.4062011211793	-14689.40026839883	8	10.714	16	8	(0.07904007777908785,0.08212502122365302,0.05547378853309545,0.0649847677259678,)
2	777376655288797	2029	5	(470:227[0.15],471:21[0.16],472:154[0.16],473:96[0.16],474:37[0.15],)	535	2476.5726580509327	-1017.373272293587	-14694.224412666317	9	9.956	16	8	(0.07208671888082092,0.10253497933158409,0.09763230137801875,0.07098407731221458,0.07010897249849032,)
3	779711746205350	2751	6	(470:90[0.13999999999999999],471:41[0.17],472:275[0.15],473:271[0.17],474:29[0.16],475:19[0.15],)	725	2497.8122026041087	-430.4521193868593	-14690.536051812953	8	13.126	14	8	(0.06590215797230148,0.06453371365672184,0.06994097203163441,0.05304575411256929,0.09156906528707928,0.0831450344951488,)
4	784102007348155	4066	5	(470:492[0.12999999999999998],471:259[0.18000000000000002],473:232[0.16],474:92[0.17],475:227[0.16],)	1302	2473.1164581733465	-44.155115759106984	-14692.291679027376	10	25.362	15	8	(0.06134568727349212,0.07016423007776385,0.05923406099932351,0.06850741061254773,0.05807412068931359,)
5	808697098494484	12028	12	(470:489[0.11999999999999998],471:548[0.17],473:3652[0.15],474:15[0.18000000000000002],475:1159[0.15],479:45[0.15],480:234[0.15],481:25[0.15],482:815[0.15],483:904[0.15],484:56[0.15],485:22[0.15],)	7964	2460.0867406469633	-156.96149498933258	-14797.459021991195	9	141.87	12	8	(0.05600763940963524,0.06286915083177148,0.061179334064052134,0.11093418684821194,0.0606096424417257,0.08484461413374791,0.08673416727036508,0.08803463757893662,0.07289863231508643,0.08190293603341156,0.08230516555348497,0.08677126901725905,)
6	810464737316380	12637	11	(470:69[0.10999999999999999],471:20[0.16],474:51[0.19000000000000003],475:35[0.13999999999999999],479:53[0.13999999999999999],480:203[0.13999999999999999],481:50[0.16],482:24[0.13999999999999999],483:29[0.13999999999999999],484:40[0.13999999999999999],485:36[0.16],)	610	2460.0867406469633	-1635.4998637522885	-14692.65244237012	9	10.514	11	8	(0.06225410609959284,0.062194565034779214,0.03494464033356408,0.09056137426346438,0.06050089274534312,0.05733767720642943,0.03681957880722145,0.08032104568778027,0.06963964437593055,0.07382198045627121,0.09235642681187238,)
7	812413898626361	13321	8	(470:51[0.09999999999999999],471:53[0.17],475:79[0.15],479:243[0.12999999999999998],480:74[0.12999999999999998],482:26[0.15],484:104[0.15],485:46[0.17],)	676	2411.750650093454	-1873.0866954506225	-14692.909910679045	8	11.886	12	8	(0.05104214540535527,0.05135531696826763,0.07722245144786773,0.0519462137151105,0.05339801554177648,0.05318850555190862,0.08167046548931706,0.07451560630044753,)
8	813861415528041	13833	8	(470:25[0.10999999999999999],471:91[0.18000000000000002],475:40[0.13999999999999999],479:199[0.11999999999999998],480:44[0.11999999999999998],482:53[0.16],484:28[0.13999999999999999],488:28[0.15],)	508	2384.7610385146595	-1223.876314096382	-14686.72030988619	9	9.106	12	8	(0.06773066320307852,0.0652330171746824,0.07592427009654988,0.0561768840864737,0.05520309466547355,0.06155400425859248,0.09714002787936955,0.06959022130123074,)
9	815643207870442	14438	6	(470:128[0.11999999999999998],471:199[0.17],475:32[0.15],479:50[0.10999999999999999],488:178[0.16],489:20[0.15],)	607	2401.927246644371	-1356.0791931862254	-14696.823830102676	8	11.258	13	8	(0.05638920253681977,0.07301807669439103,0.10451372487221317,0.0569687498919469,0.05776927957488362,0.10010674676248099,)
