alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1111
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_773495747581566
Random seed:          1111
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	774901497741969	997	1	(475:499[0.15],)	499	-55.78	-4037.839338677356	-10000.0	8	9.186	14	8	(0.08709610244621033,)
1	775187634341071	1501	3	(475:262[0.16],476:106[0.15],477:133[0.15],)	501	-47.14	-1846.787864271457	-10000.0	10	9.268	15	8	(0.06889581826964332,0.05523151937949613,0.07920062047533663,)
2	775413062777093	2040	3	(475:249[0.15],476:122[0.16],477:132[0.16],)	503	-47.14	-1283.9918290258452	-10000.0	10	9.61	14	8	(0.07800964765508468,0.09993565930337182,0.07505233636147787,)
3	775579719798784	2576	3	(475:96[0.13999999999999999],476:111[0.17],477:296[0.17],)	503	-47.14	-949.5064015904576	-10000.0	10	9.932	14	8	(0.08157424358308965,0.08508043847048924,0.07204780346129866,)
4	775725410986111	3076	3	(475:227[0.15],476:259[0.18000000000000002],477:17[0.16],)	503	-46.09	-833.7106163021868	-10000.0	9	10.152	14	8	(0.07364029787873749,0.07520034995238631,0.09266279024410168,)
5	775879319245637	3595	3	(475:71[0.13999999999999999],476:395[0.17],477:37[0.17],)	503	-46.09	-1055.1264413518886	-9997.9	9	9.374	14	8	(0.06018689223002626,0.07804399787882449,0.11212765709369894,)
6	776101166590335	4107	6	(475:85[0.15],476:217[0.16],477:108[0.18000000000000002],492:38[0.15],493:30[0.15],494:25[0.15],)	503	-46.09	-1491.2459244532802	-10000.0	9	9.452	14	8	(0.08049647758489771,0.08324899651527068,0.07087651085838188,0.08655401471934634,0.08485616696740209,0.08198994605818057,)
7	776340012133000	4622	9	(475:53[0.13999999999999999],476:38[0.15],477:27[0.17],492:47[0.16],493:70[0.16],494:138[0.16],495:38[0.15],496:18[0.15],498:77[0.15],)	506	-44.99	-1641.0822529644272	-10000.0	10	9.48	14	8	(0.08429571655412076,0.08487063815463583,0.08721162590650458,0.0982039222954278,0.0847663732117715,0.06518887373238683,0.08611987621663786,0.10668338126811225,0.05956600049712593,)
8	776582695772989	5125	8	(475:46[0.15],476:55[0.16],477:57[0.18000000000000002],492:46[0.17],493:77[0.15],494:76[0.15],496:33[0.16],498:119[0.13999999999999999],)	509	-44.99	-1647.5660510805499	-10000.0	10	9.518	14	8	(0.07092863803410514,0.08758301013315815,0.08915076464520429,0.0824453177482255,0.04883708464051872,0.06601984519843906,0.07900973145326323,0.043858648124345964,)
9	776827460211793	5654	6	(475:65[0.16],476:62[0.17],477:88[0.19000000000000003],492:101[0.18000000000000002],493:77[0.13999999999999999],498:115[0.12999999999999998],)	508	-44.64	-1567.5562795275591	-10000.0	9	9.638	15	8	(0.08306750260121484,0.08193542618233904,0.10187139665717383,0.07976118463427473,0.07401072188453091,0.06922403348939381,)
10	777066280467976	6155	7	(475:64[0.17],476:69[0.18000000000000002],477:64[0.18000000000000002],492:73[0.17],493:108[0.15],498:103[0.11999999999999998],501:25[0.15],)	506	-44.64	-1518.2158102766796	-10000.0	9	9.584	16	8	(0.08709421657583752,0.10712477042805249,0.06350102069469273,0.08966696138149394,0.05136025422905174,0.07232489820170927,0.04837492907337224,)
11	777311177152177	6688	7	(476:50[0.19000000000000003],477:72[0.19000000000000003],492:84[0.16],493:92[0.13999999999999999],498:69[0.10999999999999999],504:112[0.15],505:28[0.15],)	507	-44.64	-1483.081183431953	-10000.0	9	9.862	15	8	(0.09571610697198515,0.0558160423482447,0.0830004705674943,0.0691246294659481,0.0679236559177139,0.07751891290921899,0.06549217369568203,)
12	777520546636970	7198	8	(476:53[0.20000000000000004],477:30[0.18000000000000002],492:59[0.15],493:103[0.12999999999999998],498:55[0.11999999999999998],504:72[0.13999999999999999],505:119[0.16],508:16[0.15],)	507	-44.57	-1233.8538856015778	-10000.0	11	9.9	17	8	(0.08387413105513879,0.061318572646289836,0.09298655059103296,0.06381038580720853,0.06574091208124026,0.06636879565213814,0.06407362980940681,0.10174425966812012,)
13	777752535479385	7710	10	(476:16[0.21000000000000005],477:49[0.19000000000000003],492:81[0.16],493:115[0.11999999999999998],498:17[0.12999999999999998],504:52[0.12999999999999998],505:54[0.15],508:64[0.16],512:37[0.15],513:23[0.15],)	508	-44.57	-1387.492893700787	-10000.0	11	10.222	18	8	(0.06991910981781356,0.047972609109088245,0.1023150499046926,0.07565734954189386,0.06779035201899412,0.07391321639744905,0.07488737312907758,0.09053600672260176,0.07810301603595682,0.06186042726045628,)
14	777984939185237	8233	10	(476:37[0.22000000000000006],477:30[0.20000000000000004],492:53[0.15],493:61[0.10999999999999999],504:26[0.11999999999999998],505:121[0.13999999999999999],508:26[0.15],512:56[0.16],513:75[0.16],516:25[0.15],)	510	-44.1	-1278.905176470588	-10000.0	8	10.432	20	8	(0.08826984729136078,0.09366790453694661,0.10693493295022329,0.06336457139247718,0.06636852350454533,0.08043447444915934,0.09983983175850697,0.07505630519543569,0.07808353847860189,0.0646155602073079,)
15	778248586590156	8736	10	(476:41[0.23000000000000007],477:28[0.21000000000000005],492:50[0.13999999999999999],493:46[0.09999999999999999],504:34[0.12999999999999998],505:66[0.12999999999999998],508:46[0.16],512:91[0.15],513:17[0.15],516:91[0.16],)	510	-44.1	-1519.5879411764708	-10000.0	8	10.502	20	8	(0.08294053295856763,0.11467988492391988,0.06258074243216301,0.07418109909417998,0.06879155956273994,0.07881460287648653,0.04088952564598849,0.06717216885654582,0.1176839053744906,0.06157873204428706,)
16	778482577189486	9279	9	(476:57[0.24000000000000007],477:22[0.22000000000000006],492:35[0.12999999999999998],493:102[0.10999999999999999],504:19[0.13999999999999999],505:86[0.11999999999999998],508:62[0.17],513:20[0.16],516:107[0.15],)	510	-44.1	-1232.5648627450983	-10000.0	8	10.364	18	8	(0.07685612918125488,0.11671033767781949,0.08294928360919754,0.052654638947747814,0.09015972099049618,0.06641942827712903,0.04529996700921415,0.12171726740901156,0.07208858291514082,)
17	778692060413376	9791	8	(476:97[0.23000000000000007],477:31[0.23000000000000007],492:70[0.13999999999999999],493:40[0.09999999999999999],505:39[0.10999999999999999],508:52[0.16],513:77[0.17],516:103[0.13999999999999999],)	509	-44.1	-1068.3214734774067	-10000.0	8	10.898	16	8	(0.07878825279022862,0.08625705028549156,0.07013419762730859,0.06337888960902718,0.08107745839241948,0.045109027204584255,0.11192820168532756,0.05438530122906131,)
18	778957840324343	10308	9	(476:117[0.22000000000000006],477:55[0.24000000000000007],492:70[0.12999999999999998],493:20[0.10999999999999999],505:53[0.11999999999999998],508:21[0.17],513:18[0.16],516:90[0.12999999999999998],523:64[0.15],)	508	-43.41	-1332.3725590551182	-10000.0	12	11.046	16	8	(0.08646270996459425,0.10788488030580227,0.06876883763899046,0.0856130905415947,0.08624728019696326,0.06923568131872779,0.11350706132160954,0.06121431502348641,0.09872303471392316,)
19	779168299373800	10822	8	(476:108[0.21000000000000005],492:49[0.11999999999999998],493:142[0.11999999999999998],505:17[0.12999999999999998],508:47[0.18000000000000002],513:16[0.17],516:93[0.11999999999999998],523:37[0.13999999999999999],)	509	-43.41	-1107.913025540275	-10000.0	12	10.798	16	8	(0.07432978338475377,0.06365377864919414,0.05486084139272316,0.07670358808013399,0.06467545320295665,0.080052752757718,0.05520210804091575,0.04913366669506914,)
20	779410929041393	11345	7	(476:89[0.20000000000000004],492:103[0.12999999999999998],505:89[0.13999999999999999],508:63[0.19000000000000003],513:23[0.18000000000000002],523:31[0.15],527:110[0.15],)	508	-42.4	-1383.521535433071	-10000.0	9	10.688	16	8	(0.12745320688688266,0.07926105382853052,0.0862915809494666,0.11827663470589471,0.07654828643440446,0.07608529330736066,0.0942092991636636,)
