alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 888
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar-Maze/run_930433795742655
Random seed:          888
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	932535736442908	997	1	(471:499[0.15],)	499	-323.64	-3047.0604008016003	-15001.0	14	10.286	15	8	(0.08294442622084079,)
1	933011328467864	1507	2	(471:464[0.16],472:37[0.15],)	501	-304.26	-2453.3323153692613	-15001.0	10	10.584	16	8	(0.04931090511191212,0.08243353093707552,)
2	933430474611620	2012	2	(471:373[0.15],472:129[0.16],)	502	-288.61	-2156.02	-15001.0	10	9.748	16	8	(0.059836997245803616,0.04569959798411246,)
3	933928352972260	2525	2	(471:187[0.13999999999999999],472:315[0.17],)	502	-286.57	-2827.93687250996	-15001.0	14	9.554	16	8	(0.05299088577467854,0.049664675601589194,)
4	934397158545703	3025	3	(471:72[0.15],472:266[0.16],476:164[0.15],)	502	-269.5	-2608.6180677290836	-15001.0	13	10.038	16	8	(0.05552486801951301,0.060312272203449604,0.03932793484818364,)
5	934769290187495	3525	3	(471:197[0.16],472:173[0.15],476:133[0.16],)	503	-269.5	-1972.6294632206764	-15001.0	13	10.214	16	8	(0.05228985635821189,0.0708097495411494,0.07437480522653653,)
6	935174657722506	4041	4	(471:43[0.15],472:182[0.13999999999999999],476:223[0.17],477:55[0.15],)	503	-260.07	-1910.5019880715718	-15001.0	12	10.678	17	8	(0.11107100598578558,0.08553126910093127,0.061008384219901346,0.08938467436972218,)
7	935512919590855	4547	4	(471:132[0.16],472:55[0.12999999999999998],476:165[0.16],477:152[0.16],)	504	-260.07	-1628.9323809523805	-15001.0	12	10.502	17	8	(0.04763454659346909,0.07991755372609223,0.08519496466256245,0.07174642642654375,)
8	935876800144845	5052	4	(471:83[0.15],472:173[0.13999999999999999],476:102[0.15],477:146[0.15],)	504	-260.07	-1868.9311904761905	-15001.0	12	10.128	16	8	(0.06519064447484023,0.062137716873245326,0.053370881265562095,0.07114922717852411,)
9	936164850007300	5555	5	(471:129[0.16],472:76[0.12999999999999998],476:199[0.16],483:50[0.15],484:50[0.15],)	504	-260.07	-1374.4793650793652	-14979.94	12	10.356	16	8	(0.08634647156177368,0.07419275037950399,0.061423350453039864,0.07222105178069343,0.08143805787656681,)
