alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 333
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar-PuddleWorld/run_624517701784150
Random seed:          333
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	625866033072927	997	1	(471:499[0.15],)	499	1170.6400000000178	-306.60288577154	-5101.0999999999985	9	9.322	14	8	(0.07564048162308748,)
1	626275466745436	1498	2	(471:481[0.16],472:20[0.15],)	501	1189.900000000015	-109.611377245506	-5101.0999999999985	8	9.464	13	8	(0.06735055516031238,0.08162699784298344,)
2	626694608580123	2001	4	(471:148[0.15],472:237[0.16],474:50[0.15],475:67[0.15],)	502	1189.900000000015	144.29221115538178	-5101.0999999999985	8	10.26	13	8	(0.0926804950006861,0.05455917262253541,0.06552714478555262,0.07837269212630997,)
3	627203538602268	2606	5	(471:56[0.13999999999999999],472:358[0.15],474:128[0.16],475:44[0.16],477:22[0.15],)	608	1189.900000000015	-58.47034539473237	-5101.0999999999985	8	12.096	14	8	(0.07372063982367069,0.05894229534887991,0.06768492268825486,0.07047101143919876,0.07767065267814345,)
4	628116286910592	3242	4	(472:94[0.13999999999999999],474:110[0.15],477:291[0.16],479:106[0.15],)	601	1162.2100000000198	-2487.7807487520718	-5101.0999999999985	8	10.924	12	8	(0.08943056686084894,0.0585537287315601,0.045474853386754194,0.081153162214971,)
5	629111539353135	3790	5	(474:322[0.16],477:26[0.15],479:59[0.16],481:119[0.15],482:17[0.15],)	543	1156.9400000000187	-3569.2875138121663	-5101.0999999999985	11	9.992	12	8	(0.05110220767569261,0.09097776712527597,0.07060152726863535,0.04234957514513942,0.08141140233181375,)
6	630144535095602	4297	5	(474:140[0.15],477:83[0.16],479:171[0.17],481:17[0.13999999999999999],482:95[0.16],)	506	1156.9400000000187	-4421.310999999995	-5101.0999999999985	11	9.086	13	8	(0.060534110622620485,0.058952995761015814,0.06885301121651557,0.05798577181035885,0.038619020675123406,)
7	631129079354449	4799	5	(474:113[0.13999999999999999],477:56[0.17],479:60[0.16],481:228[0.15],482:48[0.17],)	505	1156.9400000000187	-3862.8587445544545	-5101.0999999999985	11	9.278	13	8	(0.06650207231964116,0.027825376898572462,0.042146037643774656,0.06118575165675992,0.07924181671186017,)
8	632070368187628	5317	5	(474:81[0.12999999999999998],477:164[0.18000000000000002],479:172[0.17],482:58[0.18000000000000002],485:30[0.15],)	505	1301.1100000000215	-3325.627332673266	-5101.0999999999985	13	9.3	14	8	(0.060721075793100085,0.05161784766694431,0.06740125570559065,0.049915543354208496,0.0636567283070393,)
9	632857376998522	5823	5	(474:109[0.13999999999999999],477:18[0.17],479:150[0.16],482:170[0.19000000000000003],485:58[0.16],)	505	1301.1100000000215	-2454.613697029704	-5101.0999999999985	13	9.412	13	8	(0.060022637717004876,0.08569263814211496,0.08721104265738772,0.10042073972531797,0.09641707288848911,)
10	633513323666687	6342	8	(474:23[0.12999999999999998],477:33[0.18000000000000002],479:191[0.15],482:39[0.18000000000000002],485:89[0.17],488:34[0.15],489:68[0.15],492:28[0.15],)	505	1301.1100000000215	-1570.727112871288	-5101.0999999999985	13	9.682	14	8	(0.06664136024098757,0.10639948762369894,0.08035241690622359,0.10846855660389725,0.06530706758460872,0.07876310057055226,0.08087245130724795,0.101820492282503,)
11	634261309568484	6850	10	(474:23[0.13999999999999999],477:40[0.19000000000000003],479:108[0.13999999999999999],482:45[0.19000000000000003],485:25[0.16],488:52[0.16],489:113[0.13999999999999999],494:33[0.15],495:27[0.15],497:42[0.15],)	508	1301.1100000000215	-2205.046834645671	-5101.0999999999985	13	9.418	15	8	(0.05572270238889799,0.07423885320148084,0.09977901742103229,0.07825721371215358,0.07714704513047085,0.08259125035925777,0.07537531839818876,0.09191633369231544,0.07224087618709289,0.07109941832140189,)
12	635043099157035	7369	9	(474:49[0.15],477:34[0.20000000000000004],479:53[0.12999999999999998],482:36[0.20000000000000004],489:203[0.12999999999999998],494:26[0.16],495:61[0.16],497:31[0.16],498:17[0.15],)	510	1317.7600000000223	-2311.129000000001	-5101.0999999999985	13	9.332	14	8	(0.09753889599083905,0.07155693308407607,0.09223016027954581,0.0998866498256052,0.07056447510098106,0.07875834061673184,0.07197943490835801,0.06190578171448851,0.08867681125842422,)
