alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 666
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_PuddleWorld/run_658664537304250
Random seed:          666
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	659049875967834	997	1	(456:499[0.15],)	499	1380.570000000015	383.73875751502743	-100.09999999999856	8	9.344	14	8	(0.062117933857510334,)
1	659260348549347	1497	4	(456:196[0.16],457:90[0.15],458:191[0.15],459:24[0.15],)	501	1524.090000000021	683.2754291417122	-100.09999999999856	10	9.43	15	8	(0.0828749617300142,0.08778425970024828,0.09770942921924866,0.10131802523327325,)
2	659469168805873	1999	4	(456:106[0.15],457:214[0.16],458:120[0.13999999999999999],459:64[0.16],)	504	1533.650000000021	805.9423412698374	-100.09999999999856	10	9.402	14	8	(0.07839006442077316,0.07659690508517407,0.05334576338196438,0.057827342074282605,)
3	659682011241318	2503	4	(456:30[0.16],457:337[0.15],458:30[0.15],459:107[0.17],)	504	1554.9400000000214	818.8592261904726	-100.09999999999856	11	9.552	13	8	(0.06153953753269905,0.07266383079756905,0.0956328759142702,0.0602320837634926,)
4	659893657863319	3003	5	(456:173[0.17],457:80[0.13999999999999999],458:90[0.16],459:114[0.18000000000000002],462:47[0.15],)	504	1554.9400000000214	838.3784523809488	-100.09999999999856	11	9.542	13	8	(0.0880860918213396,0.08686258997721427,0.07965077156042452,0.10546760078840774,0.10579577837299649,)
5	660104612866072	3503	5	(456:76[0.16],457:75[0.15],458:114[0.17],459:45[0.17],462:195[0.16],)	505	1554.9400000000214	823.2641386138581	-100.09999999999856	11	9.566	13	8	(0.07010802907824246,0.07648034984822796,0.08219354841600186,0.0755963397400565,0.07316804070375102,)
6	660329581911832	4017	5	(456:131[0.17],457:30[0.16],458:130[0.16],459:88[0.18000000000000002],462:126[0.15],)	505	1554.9400000000214	893.3300198019791	-100.09999999999856	11	9.844	14	8	(0.07672009074267926,0.09355369073077217,0.08718164832481644,0.09105423723557739,0.08303540313157293,)
7	660558646393522	4535	6	(456:94[0.16],457:81[0.17],458:161[0.15],459:97[0.19000000000000003],462:31[0.13999999999999999],466:41[0.15],)	505	1554.9400000000214	892.6425544554448	-100.09999999999856	11	9.946	14	8	(0.08028580454611274,0.1043321917940954,0.08652641268727868,0.0749444639853622,0.09013620041210536,0.09176249659874035,)
8	660787164971867	5047	7	(456:21[0.15],457:78[0.18000000000000002],458:135[0.13999999999999999],459:68[0.18000000000000002],462:94[0.15],466:55[0.16],469:55[0.15],)	506	1554.9400000000214	910.6555533596846	-100.09999999999856	11	10.018	14	8	(0.08340850726363762,0.08260949046504487,0.08989861918417999,0.0866386834728953,0.0712840858631936,0.0756477066285053,0.08672246683974447,)
9	661010304236655	5556	8	(456:50[0.16],457:58[0.17],458:76[0.12999999999999998],459:44[0.19000000000000003],462:115[0.13999999999999999],466:47[0.17],469:95[0.16],470:22[0.15],)	507	1565.7800000000218	924.4376528599616	-100.09999999999856	10	9.91	15	8	(0.08953398526864818,0.09472170390774441,0.08495498012190068,0.09503678995045087,0.08708361769875916,0.08389054885630631,0.06869374032872298,0.0951332905424028,)
