alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 888
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar/run_2686839332124355
Random seed:          888
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=10, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	2695190612025152	997	1	(493:499[0.15],)	499	-142.76	-1849.3723647294573	-5001.0	13	12.826	17	10	(0.13015074811308136,)
1	2696664254071614	1509	1	(493:501[0.16],)	501	-137.6	-1000.03746506986	-5001.0	14	13.168	18	10	(0.05690004091255335,)
2	2697578941242086	2010	2	(493:459[0.15],495:42[0.15],)	501	-132.74	-599.6524750499004	-5001.0	14	13.496	17	10	(0.04173569749096541,0.04926911939050293,)
3	2698511865569181	2520	2	(493:179[0.13999999999999999],495:323[0.16],)	502	-136.63	-587.8745418326694	-5001.0	16	12.37	18	10	(0.03650176188136091,0.046993180923620766,)
4	2699422446804155	3026	2	(493:179[0.15],495:323[0.15],)	502	-134.66	-604.5694820717129	-5001.0	17	13.014	19	10	(0.05120557233703643,0.06604659681616733,)
5	2700305520715279	3528	2	(493:316[0.16],495:186[0.13999999999999999],)	502	-132.68	-582.8612749003984	-5001.0	12	13.544	18	10	(0.048685029839086014,0.0594017144811463,)
6	2701131790427108	4035	2	(493:376[0.15],495:126[0.15],)	502	-132.91	-508.52081673306776	-5001.0	12	13.474	19	10	(0.05709517514770657,0.06116432750701818,)
7	2702125349662720	4544	5	(493:231[0.13999999999999999],495:75[0.16],499:136[0.15],500:43[0.15],502:17[0.15],)	502	-132.38	-672.9573107569721	-5001.0	15	12.726	19	10	(0.06715786721123933,0.06670748876769243,0.09141513761290393,0.08844038576225462,0.09073919362629937,)
8	2703173721038087	5058	5	(493:47[0.12999999999999998],495:66[0.17],499:110[0.13999999999999999],500:257[0.16],502:25[0.16],)	505	-132.01	-670.3652673267326	-5001.0	12	11.97	18	10	(0.05676531436671387,0.040340918883347614,0.04958124167260837,0.053004517304242466,0.02030253377477835,)
9	2704314454961569	5563	5	(493:70[0.13999999999999999],495:46[0.18000000000000002],499:73[0.12999999999999998],500:118[0.15],502:198[0.17],)	505	-133.99	-780.6670495049506	-5001.0	11	12.502	19	10	(0.04820879507115634,0.04949980589476632,0.047693453388234726,0.05700653645730229,0.04846420202778709,)
10	2705481567630062	6068	5	(493:49[0.15],495:124[0.19000000000000003],499:110[0.13999999999999999],500:73[0.13999999999999999],502:149[0.16],)	505	-133.06	-846.9093267326734	-5001.0	13	12.084	19	10	(0.04884465194827176,0.04448348624074322,0.05941310613185812,0.05245996536628724,0.06463272865333056,)
11	2706449307923278	6573	5	(493:55[0.16],495:34[0.18000000000000002],499:116[0.12999999999999998],500:194[0.15],502:106[0.15],)	505	-135.3	-652.1294653465346	-5001.0	16	12.48	19	10	(0.07126248342106968,0.08432015116152705,0.07900278535622256,0.08219632546013926,0.08359852834627302,)
12	2707394547083307	7078	5	(493:63[0.17],495:125[0.19000000000000003],499:79[0.11999999999999998],500:54[0.13999999999999999],502:184[0.13999999999999999],)	505	-131.35	-668.2075643564357	-5001.0	11	12.042	19	10	(0.05034544735171893,0.052531607714600546,0.05995968845867649,0.08413020867365756,0.06760314610146138,)
13	2708636535952552	7595	5	(493:49[0.18000000000000002],495:117[0.18000000000000002],499:150[0.12999999999999998],500:166[0.15],504:23[0.15],)	505	-132.69	-846.4390495049506	-5001.0	11	11.838	19	10	(0.06591091781686652,0.06934700611377385,0.07131123248549893,0.08162716134664343,0.08146738453831802,)
14	2710158943417822	8105	5	(493:85[0.19000000000000003],495:86[0.17],499:17[0.11999999999999998],500:82[0.13999999999999999],504:235[0.16],)	505	-133.68	-1014.2741386138615	-5001.0	15	12.552	20	10	(0.06347900422957833,0.06692935731620357,0.08471145501449327,0.07807152402081219,0.056865359249672245,)
15	2711120845466426	8610	5	(493:103[0.20000000000000004],495:132[0.18000000000000002],499:75[0.12999999999999998],500:67[0.15],504:128[0.15],)	505	-131.99	-637.5683168316832	-5001.0	11	12.966	20	10	(0.055310388425566404,0.08935887096246004,0.06012145656428878,0.07222424315994906,0.09211704628310959,)
16	2712454111133775	9126	5	(493:76[0.19000000000000003],495:50[0.17],499:127[0.13999999999999999],500:140[0.16],504:112[0.13999999999999999],)	505	-128.77	-890.6115643564357	-5001.0	10	12.56	20	10	(0.0791012334988032,0.057774399503843214,0.07115559259528204,0.07804336311928542,0.08645265984474525,)
17	2713319824062596	9643	5	(493:113[0.20000000000000004],495:131[0.18000000000000002],499:60[0.12999999999999998],500:171[0.15],504:30[0.12999999999999998],)	505	-130.57	-572.8421782178218	-5001.0	11	12.66	20	10	(0.08799851732433198,0.07126470527956073,0.06048612019750131,0.06683413700419015,0.08964178537219758,)
18	2714232438194556	10148	5	(493:61[0.19000000000000003],495:259[0.17],499:106[0.13999999999999999],500:40[0.13999999999999999],504:39[0.13999999999999999],)	505	-131.95	-637.4662376237623	-5001.0	13	12.356	19	10	(0.09481047430380757,0.09239744737184599,0.08351911295534548,0.07497083416707467,0.08496647349495609,)
19	2715462729581691	10664	7	(493:61[0.20000000000000004],495:31[0.16],499:35[0.12999999999999998],500:142[0.15],504:154[0.15],509:23[0.15],510:59[0.15],)	505	-134.15	-835.4366732673268	-5001.0	12	12.202	19	10	(0.08262830481479191,0.0681511029789324,0.06686677936100315,0.09451808235284885,0.060891521706383483,0.10326474956552056,0.07889799850047391,)
20	2716434012199852	11173	6	(493:58[0.21000000000000005],495:84[0.17],499:23[0.13999999999999999],504:40[0.13999999999999999],509:172[0.16],510:130[0.16],)	507	-130.53	-666.4342998027611	-5001.0	10	12.13	20	10	(0.06857514884317009,0.07034305948699042,0.057798133492825435,0.06621692497855118,0.07985878643443052,0.07505251296913466,)
