**********************************
*   Optimizing GRN with GRNEAT   *
**********************************

---- Evolution parameters ----
Folder name:                        NMSarsa_ActorCriticPendulum/run_3563368990560025
Evaluator name:                     NMSarsa_ActorCriticPendulum
Random seed:                        222
GREAT activated:                    true
Max iterations:                     150
Population size:                    500
Save Population:                    false
Representative method:              1
Species size adjusting methods:     2
Dynamics coeff for genome distance: true
GREAT initialization                true
Number of CPUs                      16
Speciation threshold:               0.15
Species min size:                   15
Initial duplicates:                 19
Tournament size:                    3
Crossover rate:                     0.2
Mutation rate:                      0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	3563471471344553	480	24	480	342.12331428877496	-686.9204433483912	-945.1661211180922	8	7.68	8	8
1	3563597247114704	1029	20	526	327.73746733071766	-761.3579535205346	-927.500280809914	8	8.832	10	8
2	3563740031253373	1579	20	520	318.81303482059974	-654.5635241319634	-976.2647911387824	8	8.992	11	8
3	3564002579902786	2237	15	520	293.0967325507517	-602.9404030393515	-930.456442592654	8	9.396	12	8
4	3564196386643437	2825	19	515	275.555526654951	-558.8019654916474	-944.8523038284281	10	9.618	13	8
5	3564380368926381	3448	14	519	195.40628654052435	-560.179592577959	-952.0982573960118	10	9.734	14	8
6	3564518500165515	4005	14	514	334.1411413303514	-511.94450815641414	-947.6758661961011	11	9.706	14	8
7	3564719763539825	4577	12	514	332.4031942293958	-431.56710156973645	-959.9808072269782	12	9.836	15	8
8	3564900877704014	5108	11	513	319.6916865157783	-432.74607826857493	-953.3690018756338	12	9.986	14	8
9	3565155626132525	5659	11	511	313.4799088703921	-397.7899202166458	-959.8318412865642	12	9.77	14	8
10	3565433340618239	6203	11	511	321.6592673386204	-394.9457694251971	-967.887903947422	11	9.718	14	8
11	3565601365707354	6746	11	524	332.2835958708153	-404.56784652587953	-937.4598073165486	10	10.054	13	8
