**********************************
*   Optimizing GRN with GRNEAT   *
**********************************

---- Evolution parameters ----
Folder name:                        NMSarsa_Maze/run_1422870609939397000
Evaluator name:                     NMSarsa_Maze
Random seed:                        1212
GREAT activated:                    true
Max iterations:                     150
Population size:                    500
Save Population:                    false
Representative method:              1
Species size adjusting methods:     2
Dynamics coeff for genome distance: true
GREAT initialization                true
Number of CPUs                      6
Speciation threshold:               0.15
Species min size:                   15
Initial duplicates:                 19
Tournament size:                    3
Crossover rate:                     0.2
Mutation rate:                      0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	1422870694797998000	480	24	480	0.8496171171171172	-3.316550712294741	-4.054054054054054	8	7.68	8	8
1	1422870809875658000	1043	20	524	0.8025900900900902	-3.4173935239791517	-4.054054054054054	8	8.792	10	8
2	1422870920563345000	1612	19	520	0.7980292792792794	-2.885424801075625	-4.054054054054054	8	8.992	11	8
3	1422871076331433000	2261	13	519	0.7954954954954956	-2.955690345350885	-4.054054054054054	8	9.194	12	8
4	1422871186963900000	2823	13	513	0.8105855855855855	-2.635363049182068	-4.054054054054054	8	9.252	12	8
5	1422871306513359000	3403	12	513	0.7747747747747746	-2.3785019819558273	-4.054054054054054	8	9.484	13	8
6	1422871411837135000	3959	10	511	0.8083896396396395	-2.305964257412261	-4.054054054054054	8	9.71	12	8
7	1422871524819294000	4521	9	510	0.8159909909909909	-2.5083404385173673	-4.054054054054054	10	9.782	13	8
8	1422871624357621000	5044	11	509	0.8163851351351351	-2.8683700475587424	-4.054054054054054	9	10.124	14	8
9	1422871755140028000	5630	8	513	0.8281531531531532	-2.8175601462231192	-4.054054054054054	8	10.066	15	8
10	1422871848136503000	6153	8	515	0.6398648648648648	-2.576775815305081	-4.054054054054054	8	9.932	15	8
11	1422871943056922000	6673	9	508	0.7622184684684684	-2.1678536175834906	-4.054054054054054	8	10.3	16	8
12	1422872033335837000	7184	9	509	0.70990990990991	-2.0635872307286185	-4.054054054054054	8	10.338	16	8
13	1422872128823008000	7702	9	509	0.7028765957446809	-1.6292370788524595	-4.054054054054054	8	10.794	16	8
14	1422872225789240000	8215	8	509	0.7886127659574468	-1.703743400165621	-4.054054054054054	8	11.106	16	8
15	1422872325966956000	8734	9	508	0.7985923423423424	-1.383212162067831	-4.054054054054054	8	11.594	17	8
16	1422872421021193000	9243	9	509	0.8060425531914894	-1.1748365960158211	-4.054054054054054	9	11.538	18	8
17	1422872516315381000	9758	9	509	0.8265765765765766	-1.0348662216013615	-4.054054054054054	9	11.6	19	8
18	1422872636476233000	10275	8	517	0.5226914414414414	-1.1652034178361248	-4.054054054054054	11	12.432	20	8
19	1422872734971684000	10783	10	508	0.5745021276595744	-0.9973434576015118	-4.054054054054054	9	12.342	20	8
20	1422872839337284000	11308	9	510	0.5548986486486487	-0.9273448749938925	-4.054054054054054	12	12.122	20	8
21	1422872944198675000	11817	9	509	0.4957207207207207	-0.9251509675938531	-4.054054054054054	10	12.578	20	8
22	1422873048674578000	12326	9	509	0.7643018018018019	-0.7309543016765877	-4.054054054054054	18	12.942	18	8
