alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1414
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_2784148488159915
Random seed:          1414
GREAT activated:      true
Max iterations:       500
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	2784719171891100	997	1	499	-118.43333333333334	-2738.1625250501015	-3000.0	10	9.808	14	8
1	2785026569462357	1498	6	501	-112.0	-2338.2461503659347	-3000.0	9	10.174	15	8
2	2785249242823883	2004	6	506	-109.7	-1739.4990935441374	-3000.0	10	10.47	16	8
3	2785397766169155	2513	6	506	-98.74000000000002	-1082.2061317523057	-3000.0	9	10.006	15	8
4	2785516843821141	3019	6	506	-100.63333333333334	-905.0750856389991	-3000.0	9	10.65	16	8
5	2785591621753706	3535	7	506	-100.1	-517.9726824769433	-3000.0	8	11.088	16	8
6	2785660084753467	4042	7	507	-101.2	-548.4145877712032	-3000.0	10	10.634	17	8
7	2785728749982348	4556	7	507	-94.65999999999998	-390.2330124917817	-3000.0	13	10.582	17	8
8	2785792505855136	5065	7	507	-93.38399999999997	-396.50147534516765	-3000.0	12	10.522	16	8
9	2785875781906563	5578	7	507	-94.46399999999998	-437.72680604865246	-3000.0	12	10.128	17	8
10	2785960467311804	6102	5	507	-87.09066666666668	-319.20861538461537	-3000.0	9	9.89	17	8
11	2786073978749883	6610	5	505	-84.27733333333333	-305.8779353135314	-3000.0	8	10.128	15	8
12	2786205589173159	7125	6	505	-82.77866666666668	-306.3162825082508	-3000.0	10	10.598	16	8
13	2786337554235103	7638	7	506	-78.36399999999999	-251.04654018445325	-3000.0	11	10.544	17	8
14	2786482425592989	8145	7	507	-82.52666666666666	-240.8859355687048	-3000.0	11	10.306	18	8
15	2786662200685992	8669	7	507	-80.12266666666667	-214.15458251150562	-3000.0	11	10.576	16	8
16	2786860178411542	9196	7	507	-78.10666666666667	-240.65158711374096	-3000.0	12	10.476	17	8
17	2787076032104901	9718	8	507	-77.85466666666666	-196.50068639053248	-3000.0	13	11.0	18	8
18	2787296929767577	10236	8	508	-78.48	-197.34543044619426	-3000.0	13	11.21	19	8
19	2787537635895197	10772	7	508	-77.556	-189.70923622047243	-3000.0	12	10.962	20	8
20	2787785983750473	11308	7	507	-77.62266666666667	-188.47908481262326	-3000.0	13	10.544	20	8
21	2788040715353762	11827	7	507	-78.49466666666666	-138.05646022353713	-3000.0	11	10.86	19	8
22	2788309962129616	12353	5	507	-76.96666666666668	-158.07519526627217	-3000.0	10	11.33	20	8
23	2788577164306112	12862	6	505	-77.72533333333331	-129.61307458745873	-3000.0	13	10.93	20	8
24	2788849825991772	13376	7	506	-75.16533333333335	-141.0824321475626	-3000.0	15	10.396	20	8
25	2789093753535350	13884	7	507	-76.476	-134.50997501643656	-3000.0	14	10.142	21	8
26	2789377539471117	14412	7	507	-75.42533333333334	-132.29272320841554	-2981.5333333333333	11	10.908	21	8
27	2789651563349899	14920	7	507	-73.748	-123.53682051282053	-3000.0	10	10.632	20	8
28	2789937406353590	15439	8	507	-72.49733333333333	-136.94090992767914	-3000.0	10	11.192	20	8
29	2790205989268762	15953	8	508	-71.06933333333335	-112.56215748031495	-2966.8333333333335	10	10.728	21	8
30	2790496245532733	16479	7	508	-70.19466666666666	-118.45965091863515	-3000.0	10	11.212	21	8
31	2790771049468451	16986	8	507	-70.42133333333334	-132.30861538461536	-3000.0	8	10.92	22	8
32	2791064187016993	17494	9	508	-68.19600000000001	-133.61825721784777	-3000.0	9	10.804	23	8
33	2791329517887310	18013	9	509	-71.17866666666667	-165.8925134250164	-3000.0	8	10.694	23	8
34	2791634876665203	18541	8	509	-70.84533333333334	-147.82913948919446	-3000.0	8	10.774	23	8
35	2791914530695930	19051	8	508	-66.40666666666667	-155.4815958005249	-3000.0	10	11.052	23	8
36	2792168995782783	19592	8	508	-64.76533333333333	-141.85361679790026	-3000.0	10	10.158	22	8
37	2792412092713862	20114	7	508	-64.4	-144.78000262467194	-3000.0	11	9.948	19	8
38	2792674598017073	20635	9	507	-63.23333333333332	-179.8280762656147	-3000.0	8	10.44	20	8
39	2792937644432149	21163	9	509	-64.28933333333335	-154.46892730844795	-3000.0	11	10.484	21	8
40	2793210661878303	21700	8	509	-63.048	-146.939132940406	-3000.0	11	10.214	21	8
41	2793485332778457	22240	7	508	-61.87466666666666	-166.83101312335958	-3000.0	10	10.52	22	8
42	2793756704112039	22761	6	507	-62.890666666666675	-143.40402629848785	-3000.0	11	10.58	22	8
43	2794030008261630	23271	6	506	-61.635999999999996	-126.71969696969697	-3000.0	11	10.816	21	8
44	2794309024544305	23790	5	506	-62.32	-123.81151778656128	-3000.0	12	10.802	22	8
45	2794581108223064	24312	4	505	-60.83866666666667	-145.34966864686464	-3000.0	11	10.87	23	8
46	2794859788140871	24837	4	504	-61.717333333333336	-129.4734523809524	-2825.3	11	11.118	16	8
47	2795121265968355	25341	6	504	-61.49733333333331	-152.2175238095238	-3000.0	12	11.13	16	8
48	2795394582875577	25868	5	506	-61.262666666666675	-146.48838471673253	-3000.0	11	11.158	17	8
49	2795685145634766	26391	4	505	-60.081333333333326	-154.1514772277228	-3000.0	11	11.434	18	8
50	2795951216099684	26898	5	504	-60.81866666666666	-161.06659788359786	-3000.0	10	11.51	17	8
51	2796233631942831	27406	6	505	-59.578666666666656	-183.32066798679867	-3000.0	9	11.252	17	8
52	2796473294435677	27926	6	506	-60.09866666666666	-139.21691699604742	-3000.0	12	10.38	17	8
53	2796744545375143	28452	5	506	-60.40133333333333	-167.92748089591566	-3000.0	11	10.354	16	8
54	2796989602625166	28966	5	505	-60.51200000000001	-149.02716831683168	-3000.0	13	10.028	16	8
55	2797240690659003	29487	6	505	-57.79200000000001	-173.72290165016506	-3000.0	11	10.74	17	8
56	2797504397133522	29995	6	506	-57.28933333333333	-140.62888801054018	-3000.0	10	11.11	17	8
57	2797768561922879	30503	6	506	-58.443999999999996	-187.44273517786567	-3000.0	10	10.734	17	8
58	2798029507509133	31011	7	506	-58.51733333333332	-148.24245322793146	-3000.0	12	11.044	18	8
59	2798311469419752	31523	7	507	-58.563999999999986	-186.85012491781723	-3000.0	14	11.482	19	8
60	2798588971403889	32055	6	507	-58.50133333333334	-130.7243708086785	-3000.0	9	11.374	20	8
61	2798864214365599	32561	8	506	-57.817333333333345	-144.41428722002632	-3000.0	10	11.786	19	8
62	2799128078452646	33078	8	508	-57.95066666666668	-141.5122965879265	-2917.733333333333	14	11.538	19	8
63	2799387167663345	33610	6	508	-57.778666666666666	-140.0430183727034	-3000.0	9	11.2	19	8
64	2799651038847800	34117	7	506	-57.97066666666667	-92.89316469038212	-2851.4666666666667	10	11.704	19	8
65	2799916636147490	34629	7	507	-57.88799999999999	-138.7669927679158	-3000.0	9	11.454	20	8
66	2800165529786717	35141	7	507	-57.94133333333334	-137.67360157790924	-3000.0	9	11.496	18	8
67	2800437681817962	35655	8	507	-58.157333333333334	-150.13941617357003	-3000.0	9	11.644	18	8
68	2800684813510357	36174	7	508	-57.400000000000006	-145.62104724409448	-3000.0	9	12.226	18	8
69	2800944541742918	36685	7	507	-57.94266666666667	-124.48705851413547	-3000.0	10	11.966	18	8
70	2801204916830919	37192	8	507	-58.336000000000006	-148.9037317554241	-3000.0	8	11.862	18	8
71	2801472788181787	37715	7	508	-57.902666666666676	-175.11762467191605	-3000.0	11	11.544	18	8
72	2801727027871395	38222	7	507	-58.89466666666665	-157.09664957264957	-3000.0	12	11.816	19	8
73	2801991271884187	38729	7	507	-58.02	-158.6655831689678	-3000.0	13	11.918	19	8
74	2802272136983677	39239	8	507	-58.056000000000004	-178.78742669296517	-3000.0	12	11.692	19	8
75	2802541283305122	39751	8	508	-58.365333333333325	-181.18174278215218	-3000.0	12	10.782	19	8
76	2802795884115297	40259	8	508	-57.98399999999999	-220.6190288713911	-3000.0	10	10.81	18	8
77	2803073490283776	40774	8	508	-57.818666666666665	-226.55765879265087	-3000.0	15	10.616	18	8
78	2803331610526043	41282	8	508	-58.35066666666668	-198.72518372703414	-3000.0	15	10.262	19	8
79	2803575026013355	41813	6	508	-58.41066666666665	-203.57173228346457	-3000.0	8	10.35	18	8
80	2803827133648252	42340	7	506	-58.15866666666667	-273.53772859025037	-3000.0	11	10.65	19	8
81	2804059943654199	42847	8	507	-57.86133333333334	-361.81889809335973	-3000.0	9	9.904	16	8
82	2804336137946005	43380	6	508	-57.934666666666665	-415.82446981627294	-3000.0	9	9.49	16	8
83	2804612205125494	43896	5	506	-57.49333333333333	-1102.0554703557318	-3000.0	12	11.202	16	8
84	2804867262560205	44401	6	505	-58.33466666666667	-462.567207920792	-3000.0	10	11.232	17	8
85	2805114037392416	44913	7	506	-58.26133333333334	-277.0325138339921	-3000.0	9	11.258	18	8
86	2805355013172301	45427	8	507	-58.33733333333335	-275.37883497698886	-3000.0	10	11.32	18	8
87	2805598154786602	45961	6	508	-57.73466666666667	-230.53904724409452	-3000.0	8	11.088	19	8
88	2805872456487670	46484	6	506	-57.50933333333332	-199.21330961791833	-3000.0	9	12.096	19	8
89	2806121549228938	46995	6	506	-58.54933333333332	-278.03748089591573	-3000.0	8	10.504	19	8
90	2806385341181331	47502	6	506	-57.57333333333332	-239.5640974967061	-3000.0	9	10.27	20	8
91	2806648785625427	48011	6	506	-57.79333333333335	-220.34208432147557	-3000.0	12	11.384	21	8
92	2806924931581546	48526	6	506	-58.46666666666666	-257.665559947299	-3000.0	15	10.846	21	8
93	2807211336645729	49043	6	506	-58.241333333333344	-209.70522266139656	-3000.0	15	10.984	19	8
