alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1010
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar/run_2784175481060777
Random seed:          1010
GREAT activated:      true
Max iterations:       500
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	2786224103384613	997	1	499	-665.04	-1980.1453242484974	-2501.0	8	9.138	14	8
1	2787178524879697	1511	2	501	-409.68	-1865.6737820359274	-2501.0	9	9.376	15	8
2	2788049252014210	2013	2	502	-242.40800000000002	-1891.0492398406377	-2501.0	9	9.438	15	8
3	2788908687484548	2522	2	502	-214.96319999999997	-1740.3453227091636	-2501.0	8	9.816	14	8
4	2789792957098010	3032	2	502	-207.8992	-1580.397501195219	-2501.0	9	10.094	15	8
5	2790650848367565	3553	2	502	-211.51680000000005	-1428.888433466136	-2501.0	10	10.214	16	8
6	2791436479413434	4064	3	502	-206.38239999999993	-1265.7105083665335	-2501.0	9	10.502	16	8
7	2792334234388075	4571	3	503	-202.93759999999995	-989.4935570576542	-2501.0	9	10.086	16	8
8	2793494200487757	5080	3	503	-205.98720000000006	-855.7446489065603	-2501.0	10	10.322	16	8
9	2795085000033365	5583	4	503	-202.39519999999996	-723.5516373757456	-2501.0	13	10.686	16	8
10	2796499554148106	6087	5	504	-199.5952	-888.4639650793648	-2501.0	13	10.876	16	8
11	2798013775288767	6598	5	505	-201.28000000000003	-1284.3794883168314	-2501.0	15	10.24	16	8
12	2799532808083860	7105	6	505	-202.40480000000002	-1322.1633647524752	-2501.0	13	9.978	17	8
13	2801055374703583	7611	6	506	-204.09439999999998	-1542.6431430830037	-2501.0	12	10.088	16	8
14	2802656401260598	8129	7	506	-202.45919999999998	-1662.7498624505931	-2501.0	9	9.838	14	8
15	2804096123031922	8652	7	507	-203.6	-1776.906837080868	-2501.0	11	9.598	15	8
16	2805694325434778	9177	7	507	-201.82720000000006	-1682.77846469428	-2501.0	11	9.874	16	8
17	2807583883925533	9688	8	507	-207.39359999999996	-1310.9688678500986	-2501.0	9	10.436	15	8
18	2809428804068831	10209	7	508	-208.6	-1403.9866425196851	-2501.0	10	9.786	14	8
19	2811419027998912	10716	7	507	-209.27359999999996	-1272.3612370808676	-2501.0	9	10.06	15	8
20	2813416097471349	11229	8	507	-206.16479999999999	-1230.5164465483238	-2501.0	9	9.9	15	8
21	2815051688246395	11748	7	508	-204.86720000000003	-1313.7683937007878	-2501.0	9	9.582	15	8
22	2816871594984801	12277	7	507	-202.87040000000002	-1129.0527747534513	-2501.0	10	10.07	16	8
23	2818580134944835	12795	8	507	-204.65760000000003	-994.0805712031556	-2501.0	13	10.196	16	8
24	2820754428541622	13321	8	508	-200.83999999999997	-925.7231685039371	-2501.0	13	10.718	17	8
25	2822442471462320	13834	8	508	-201.50560000000002	-1105.7075401574803	-2501.0	13	10.59	17	8
26	2824397179163318	14362	8	508	-200.14399999999998	-919.4386771653544	-2501.0	14	10.622	18	8
27	2826728987450705	14870	9	508	-201.1216	-747.745757480315	-2501.0	15	10.91	19	8
28	2829355589345854	15386	8	509	-201.78240000000002	-664.5036542239684	-2501.0	12	10.938	17	8
29	2831975712364947	15894	8	508	-203.46239999999995	-551.1221637795276	-2501.0	11	11.442	18	8
30	2834709474507797	16407	8	508	-203.10080000000002	-545.7204661417322	-2501.0	10	11.294	17	8
31	2837278255412642	16915	9	508	-200.93759999999997	-553.1588220472441	-2501.0	14	11.254	17	8
32	2840035424376610	17424	9	509	-199.36959999999996	-574.7441728880157	-2501.0	10	12.062	18	8
33	2842767311620872	17946	8	509	-197.99040000000002	-555.8709469548133	-2501.0	9	12.636	19	8
34	2845461148740039	18454	8	508	-196.8208	-595.8736818897638	-2501.0	10	12.476	19	8
35	2848167634781908	18970	8	508	-199.384	-518.8914393700787	-2501.0	11	12.974	19	8
36	2850744713749682	19478	8	508	-195.4272	-471.9753606299213	-2501.0	11	12.546	18	8
37	2853187502782461	19986	8	508	-197.44480000000004	-478.1080314960629	-2501.0	9	12.764	19	8
38	2855811276546715	20494	8	508	-195.39519999999996	-478.4252283464568	-2501.0	10	13.198	20	8
39	2858624425512879	21002	8	508	-192.1792	-463.2933322834646	-2501.0	11	13.282	21	8
40	2861368961383586	21510	8	508	-191.5136	-446.51964724409453	-2501.0	10	14.008	21	8
41	2863838868404967	22018	8	508	-192.9616	-494.8289165354331	-2501.0	10	13.694	22	8
42	2866373878968984	22526	8	508	-189.5984	-442.1328566929134	-2501.0	11	14.08	23	8
43	2868871554133805	23034	8	508	-190.65120000000007	-479.99151811023614	-2501.0	10	13.99	24	8
44	2871665507567076	23547	7	508	-188.56639999999996	-383.4978078740158	-2501.0	10	14.22	25	8
45	2874336037881884	24054	7	507	-186.18719999999996	-424.7054043392505	-2501.0	10	15.116	24	8
46	2877112440242691	24561	7	507	-187.7344	-503.26348244575934	-2501.0	23	14.442	24	8
47	2879864998847707	25068	7	507	-184.76320000000004	-399.44080157790927	-2501.0	9	15.048	25	8
48	2882422042681178	25575	7	507	-184.472	-441.846469428008	-2501.0	10	14.744	25	8
49	2885042584433996	26090	6	507	-184.88479999999998	-442.8949869822485	-2501.0	11	14.604	26	8
50	2887819543058870	26603	5	506	-186.72640000000004	-394.5784695652174	-2501.0	10	16.228	27	8
51	2890596962626306	27110	5	505	-185.14559999999997	-454.4074455445544	-2501.0	12	17.402	27	8
52	2893403332203095	27615	5	505	-179.18560000000002	-391.2492673267327	-2501.0	12	18.06	28	8
53	2896195608867398	28120	5	505	-180.67840000000004	-333.59643881188117	-2501.0	12	17.968	29	8
54	2899189529062932	28634	5	505	-178.88480000000004	-347.70358178217833	-2501.0	11	18.65	29	8
55	2902112134587898	29139	5	505	-179.4384	-306.14570772277233	-2501.0	11	18.794	29	8
56	2904894266873073	29644	5	505	-180.80959999999996	-364.96034851485155	-2501.0	15	18.954	29	9
57	2907740801129800	30149	5	505	-180.64799999999997	-311.87036831683173	-2501.0	11	19.22	29	9
58	2910468886604514	30654	5	505	-182.5168	-301.17564514851483	-2501.0	23	19.104	29	10
59	2913346204354448	31159	5	505	-182.9888	-313.79073267326737	-2501.0	26	19.35	30	10
60	2916284998735738	31664	5	505	-180.0768	-303.08142574257425	-2501.0	13	19.112	30	9
61	2919221434211673	32169	5	505	-181.73440000000002	-278.82751049504947	-2501.0	14	19.594	30	8
62	2922163750593667	32674	5	505	-180.39839999999995	-323.1514899009901	-2501.0	15	19.822	30	9
63	2925226412161406	33179	5	505	-181.1408	-289.1449061386139	-2501.0	13	19.548	31	8
64	2927998034506109	33684	5	505	-181.3808	-314.23468039603966	-2501.0	23	19.122	29	9
65	2930971313486928	34189	5	505	-180.2688	-271.37293940594066	-2501.0	12	19.712	28	10
66	2933821691866856	34694	5	505	-179.30239999999998	-303.7305663366336	-2501.0	11	19.618	29	9
67	2936832581312112	35199	5	505	-182.408	-286.8907627722773	-2501.0	12	20.118	29	9
68	2939713509107771	35704	5	505	-179.46239999999997	-266.7597877227723	-2501.0	12	20.008	30	10
69	2942593858364864	36209	5	505	-177.31839999999997	-310.8895334653466	-2501.0	11	20.226	30	9
70	2945514914638736	36714	5	505	-181.384	-296.0761916831683	-2501.0	13	20.088	31	9
71	2948520667322794	37219	6	505	-181.0384	-279.6305932673268	-2501.0	26	19.746	30	9
72	2951436109187610	37725	6	506	-177.26080000000002	-337.09166798418966	-2501.0	11	19.574	31	10
73	2954432382956465	38231	6	506	-180.82399999999998	-318.5337644268775	-2501.0	30	20.284	31	9
74	2957430868333920	38738	6	506	-177.67680000000001	-306.09077628458493	-2501.0	11	20.304	31	10
75	2960390351858461	39244	6	506	-180.0112	-276.3867256916996	-2501.0	12	19.91	31	9
76	2963257897237687	39750	6	506	-179.7728	-315.40260237154143	-2501.0	12	20.124	32	10
77	2966337678139977	40262	6	506	-181.24320000000003	-317.6311747035574	-2501.0	25	20.642	33	9
78	2969235452485685	40768	6	506	-178.54240000000001	-314.7805565217391	-2501.0	30	19.86	34	10
79	2972198079900866	41274	6	506	-180.05600000000007	-308.04298814229253	-2501.0	29	19.624	33	9
80	2975238939402031	41780	6	506	-179.90400000000002	-287.7028363636363	-2501.0	10	19.722	33	8
81	2978207399274670	42286	6	506	-178.8432	-318.5746213438736	-2501.0	23	20.292	33	9
82	2981067997839740	42792	6	506	-179.11520000000002	-292.0626877470356	-2501.0	29	19.832	33	8
83	2983884056557663	43298	6	506	-179.69119999999998	-279.4445976284585	-2501.0	27	19.984	34	8
84	2986865319376975	43804	6	506	-175.66080000000002	-257.9798102766798	-2501.0	30	20.686	35	8
85	2989871412681304	44310	6	506	-180.22879999999998	-308.8388110671937	-2501.0	29	19.954	34	8
86	2992828343041853	44816	6	506	-178.07359999999997	-283.78126482213435	-2501.0	31	20.632	33	8
87	2995765299300672	45322	6	506	-179.2656	-289.09852015810264	-2501.0	31	20.454	34	8
88	2998687997387129	45828	6	506	-178.31359999999992	-317.55155731225307	-2501.0	24	19.764	33	8
89	3001700014322190	46334	6	506	-178.53599999999997	-264.0150545454545	-2501.0	13	19.866	34	8
90	3004591620500857	46840	6	506	-178.2656	-280.1391936758893	-2501.0	11	19.796	34	8
91	3007542164223317	47346	6	506	-178.1168	-324.9955541501977	-2501.0	12	20.562	33	8
92	3010561319915407	47852	6	506	-177.736	-249.67234150197626	-2458.44	31	20.446	34	8
93	3013477400336476	48358	6	506	-177.65759999999997	-332.19070988142295	-2501.0	28	19.66	34	8
94	3016381062629285	48866	6	506	-179.3184	-292.6615683794466	-2501.0	28	19.488	35	8
95	3019383480719622	49372	6	506	-178.1536	-270.53836521739134	-2501.0	27	20.31	36	8
96	3022431954245240	49878	6	506	-180.14720000000005	-271.51155731225293	-2501.0	37	19.564	37	8
97	3025510886754192	50384	6	506	-179.09920000000002	-334.14291541501973	-2501.0	34	20.922	38	9
98	3028562525911934	50890	6	506	-178.4336	-319.68952094861663	-2501.0	34	21.436	39	8
99	3031860448934276	51396	6	506	-176.93919999999997	-290.20325691699605	-2501.0	38	21.322	40	8
100	3035027683161291	51902	6	506	-175.65760000000003	-310.072762055336	-2501.0	37	21.78	40	8
101	3038016857290759	52408	6	506	-178.96159999999998	-283.2232411067194	-2501.0	33	20.53	41	8
102	3041205334564373	52914	6	506	-178.6672	-274.99934545454545	-2501.0	37	20.938	42	8
103	3044282473736522	53420	6	506	-177.44640000000004	-272.80790513833995	-2501.0	36	20.692	41	8
104	3047426989406363	53926	6	506	-176.15200000000002	-317.27844743083006	-2501.0	35	20.866	42	8
105	3050329708279713	54432	6	506	-179.248	-310.49202213438735	-2501.0	32	19.228	42	8
106	3053455505851878	54941	7	506	-178.42880000000002	-309.58090118577076	-2501.0	40	21.694	43	8
107	3056622030844148	55448	7	507	-178.12959999999998	-325.02376962524653	-2501.0	27	21.372	43	8
108	3059635567792476	55956	7	507	-177.23039999999997	-326.8984520710059	-2501.0	34	20.256	43	8
109	3062538041158839	56463	7	507	-177.35519999999997	-285.79232820512823	-2501.0	40	19.45	43	8
110	3065690974606751	56974	7	507	-180.68	-322.4342090729783	-2501.0	40	21.09	44	8
111	3068782097350180	57481	7	507	-180.4144	-324.15486232741614	-2501.0	41	20.262	42	8
112	3071886826917935	57988	7	507	-179.2464	-366.77670690335304	-2501.0	38	19.908	43	8
113	3075028221194723	58495	7	507	-176.8048	-310.6645459566075	-2501.0	36	20.512	44	8
114	3078236787010509	59012	8	507	-178.216	-302.4998216962524	-2501.0	36	20.948	44	8
115	3081329700206463	59520	8	508	-178.69279999999998	-296.36907086614184	-2501.0	38	20.116	45	8
116	3084031955176867	60028	8	508	-175.45759999999999	-304.21344881889763	-2501.0	13	16.904	43	8
117	3086772871119045	60555	7	508	-180.12960000000004	-319.11108976377955	-2501.0	14	17.62	40	8
118	3089602440031670	61062	7	507	-175.18399999999997	-330.17681104536496	-2501.0	13	19.52	41	8
119	3092660269945483	61569	7	507	-178.25119999999995	-312.3546698224852	-2501.0	12	19.612	41	8
120	3095605406200020	62076	7	507	-177.53920000000002	-283.4182974358974	-2501.0	37	18.966	42	8
121	3098421137138745	62583	7	507	-176.58079999999995	-298.5453349112426	-2501.0	15	17.992	41	8
