alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 444
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_ActorCriticPendulum/run_3036074598014860
Random seed:          444
GREAT activated:      true
Max iterations:       500
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	3037113840050230	997	1	499	301.25377317804174	135.442501712839	-906.0703250959392	9	9.144	13	8
1	3037637793160084	1498	3	501	325.8584256816107	156.13029346458316	-909.3123393428559	8	9.354	13	8
2	3039028234440477	2093	4	595	328.8487624707369	156.06367172441713	-903.9715907671601	8	10.944	14	8
3	3040471719960196	2605	4	504	328.03148651168294	190.5887818929486	-956.5826235820122	8	9.822	15	8
4	3044629459389443	3113	5	504	340.0165196579475	201.47635830545204	-910.383414144145	11	9.392	16	8
5	3050988613599348	3618	6	505	349.4272264010687	197.4739782737216	-912.9918329239248	10	9.376	15	8
6	3058260161969206	4124	6	506	351.6198663371695	226.14677313200508	-917.4007612093131	10	9.708	16	8
7	3067653724401342	4646	6	506	355.30578562971436	242.20601460589114	-911.810457040548	13	9.72	15	8
8	3077127813065624	5152	6	506	358.7947260376007	239.7174938924011	-914.3099770397499	12	10.016	15	8
9	3087547806183815	5660	6	506	368.46342739271955	259.1505275915758	-944.0637788589191	13	10.318	16	8
10	3097952575977973	6166	6	506	380.4142512154262	242.14809769419386	-928.5160300830453	12	10.198	17	8
11	3109017268514943	6672	6	506	403.8290788424072	243.9575376013376	-911.8078302212484	12	10.636	17	8
12	3120104831054337	7178	6	506	402.11605914354107	262.64938743193557	-904.6272609566004	13	10.576	16	8
13	3131835247789833	7710	5	506	404.86711987572454	259.4756601015343	-968.4653180371239	13	11.264	17	8
14	3143847124649483	8226	5	505	405.9262967209808	264.1073469280492	-916.464376458282	11	11.572	17	8
15	3155334940699934	8731	5	505	405.7701573042648	251.1228147930628	-917.1687507755297	11	11.524	18	8
16	3167037249069474	9236	6	505	401.9645039410007	275.43924052539944	-912.8074298752869	13	11.368	17	8
17	3178844125666472	9763	5	523	405.37188125045446	242.69581725869662	-915.485134507521	15	12.162	17	8
18	3190794895121832	10269	5	505	406.7239287192297	271.638982751554	-916.2891621281814	14	11.818	18	8
19	3203139089653142	10780	5	505	415.2125313833144	292.0072284406233	-910.0797071045413	15	12.512	19	8
20	3214672280607143	11287	6	505	414.5613115580629	249.26788072954375	-915.7504026424413	15	11.938	19	8
21	3227127954394660	11807	6	506	408.7479166940892	273.9327006643285	-952.4281458818773	16	12.326	19	8
22	3239331465000818	12317	6	506	412.9756537120796	283.82784275754335	-911.0824643392428	17	12.082	19	8
23	3251800180632473	12831	7	506	413.6855564955511	289.19139196650326	-906.2746155456472	15	12.442	19	8
24	3263809003988973	13339	7	507	413.69255735872736	268.0702577522139	-911.9657077099345	14	12.662	19	8
