alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1414
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_PuddleWorld/run_3027640917523253
Random seed:          1414
GREAT activated:      true
Max iterations:       500
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	3031116477271506	997	1	499	370.76799999999804	-33.62394589178405	-50.100000000000406	9	9.216	13	8
1	3032537212816579	1510	3	501	377.64999999999776	5.1758922155683385	-50.100000000000406	12	9.544	13	8
2	3037492556102648	2154	1	635	434.7879999999974	194.92106456692835	-50.100000000000406	13	13.842	14	8
3	3042740039441125	2655	1	501	532.3309999999959	240.7109960079831	-50.100000000000406	12	11.264	15	8
4	3048622010659929	3156	1	501	641.0839999999948	254.01673652694495	-50.100000000000406	12	11.518	15	8
5	3055915729377614	3662	1	501	593.8969999999953	280.4777904191603	-50.100000000000406	11	11.642	15	8
6	3064609480784983	4170	3	501	573.5089999999955	316.5072295409166	-50.100000000000406	11	11.724	16	8
7	3073642548726446	4687	3	503	606.5759999999951	324.37941351888475	-50.100000000000406	12	11.444	17	8
8	3083257131221108	5190	4	503	593.3919999999953	354.9223578528806	-50.100000000000406	11	11.71	17	8
9	3093583666945525	5694	4	504	630.970999999995	395.4004662698388	-50.100000000000406	12	11.984	18	8
10	3104027609542298	6200	4	504	613.8779999999952	419.5754067460289	-50.100000000000406	13	12.208	17	8
11	3114885733443840	6718	5	504	649.158999999995	446.2279841269808	-50.100000000000406	12	12.404	17	8
12	3125766422151894	7223	5	505	642.4779999999948	456.46040396039274	-50.100000000000406	10	12.118	17	8
13	3136826486166090	7728	5	505	629.0549999999951	467.7002970296996	-50.100000000000406	12	12.09	18	8
14	3148016781622931	8233	5	505	649.6249999999949	479.5491306930658	-50.100000000000406	11	12.138	19	8
15	3159226351694539	8750	4	505	644.7579999999949	474.9007920792045	-50.100000000000406	13	12.284	20	8
16	3169701365977209	9254	6	504	689.9139999999945	456.70945634920304	-50.100000000000406	15	11.864	19	8
17	3180606385737679	9760	6	506	647.2189999999946	475.5026837944628	-50.100000000000406	12	12.144	19	8
18	3191587229232836	10270	6	506	654.0879999999946	484.2109762845814	-50.100000000000406	8	12.288	20	8
19	3202742809354792	10784	5	506	658.0819999999949	485.26029841896866	-50.100000000000406	8	12.418	20	8
20	3213943158694345	11296	5	505	648.0219999999949	497.2953128712833	-50.100000000000406	11	12.738	20	8
21	3224418233319431	11801	6	505	650.0209999999947	460.61087920791726	-50.100000000000406	17	12.762	18	8
22	3236311489117165	12332	4	506	656.9859999999946	496.39723320157725	-50.100000000000406	14	13.786	19	8
23	3248109939710815	12841	4	504	651.1749999999946	516.7092797619008	-50.100000000000406	14	13.918	19	8
24	3260033059797697	13359	5	504	656.1789999999944	516.7130674603136	-50.100000000000406	13	14.228	19	8
25	3271740177327000	13864	5	505	657.5999999999945	528.1887900990059	-50.100000000000406	13	14.272	20	8
